,accuracy,contest_code,problem_code,successful_submissons,tags
0,14.0,JUNE18B,WAREHOUS,4.0,"['likecs', 'pieguy', 'bfs', 'challenge']"
0,10.157542622833,JUNE18B,VSN,1165.0,"['cross-product', 'likecs', 'nots0fast', 'binary-search', 'geometry', 'easy-medium']"
0,1.6218208625138,JUNE18B,WRKWAYS,40.0,"['likecs', 'observsations', 'sanroylozan', 'medium', 'factorization']"
0,1.2878787878788,JUNE18B,BUILDIT,15.0,"['recurrences', 'likecs', 'teja349', 'medium-hard', 'matrix-expo']"
0,2.7624309392265,LOCMAY18,ELECTION,5.0,['dynamic-programming']
0,2.3902821316614,LOCMAY18,DSERIES,116.0,"['easy', 'math']"
0,1.4044943820225,LOCMAY18,PRIMECLO,18.0,"['seive', 'prime', 'miller-rabin', 'segment-tree']"
0,3.7383177570093,LOCMAY18,PERMSUM,8.0,"['finding-pattern', 'math', 'medium']"
0,57.815671944783,LOCMAY18,REMAIN,1382.0,"['easy', 'math']"
0,12.559549588566,LTIME60B,SBSTR,285.0,"['array', 'freq', 'looping', 'simple', 'string']"
0,1.8843404808317,LTIME60B,SHIFTPAL,27.0,"['hashing', 'xellos0', 'string', 'easy', 'kingofnumbers']"
0,2.8985507246377,LTIME60B,WEAKMID,12.0,"['array', 'easy-med', 'kingofnumbers', 'looping', 'simulation', 'stack']"
0,7.899628252788099,LTIME60B,PLUS,83.0,"['easy-medium', 'dynamic-programming', '2darray']"
0,0.0,LTIME60B,TSUM2,0.0,"['lines', 'hard', 'convex-hull', 'geometry']"
0,39.588377723971,LTIME60B,TRACE,1280.0,"['2-d-array', 'math', 'cakewalk']"
0,33.131313131313,LTIME60A,SBSTR,162.0,"['array', 'freq', 'looping', 'simple', 'string']"
0,18.64406779661,LTIME60A,SHIFTPAL,86.0,"['hashing', 'xellos0', 'string', 'easy', 'kingofnumbers']"
0,18.181818181818,LTIME60A,WEAKMID,46.0,"['array', 'easy-med', 'kingofnumbers', 'looping', 'simulation', 'stack']"
0,28.391167192429,LTIME60A,PLUS,88.0,"['easy-medium', 'dynamic-programming', '2darray']"
0,7.4380165289256,LTIME60A,TSUM2,9.0,"['lines', 'hard', 'convex-hull', 'geometry']"
0,66.666666666667,LTIME60A,TRACE,5.0,"['2-d-array', 'math', 'cakewalk']"
0,2.5641025641026003,COOK94B,CHEFLAKE,2.0,"['prefix-sum', 'dynamic-programming']"
0,8.6673889490791,COOK94B,KMXOR,309.0,"['xor', 'constructive']"
0,0.0,COOK94B,CHEFLMN,0.0,"['dynamic-programming', 'modular-arith']"
0,11.731843575419,COOK94B,CHEFTRVL,20.0,['xor']
0,0.0,COOK94B,CHEFPIC,0.0,"['squares', 'scanline', 'binary-search', 'geometry', 'bit']"
0,18.181818181818,COOK94A,CHEFLAKE,16.0,"['prefix-sum', 'dynamic-programming']"
0,23.724489795918004,COOK94A,KMXOR,183.0,"['xor', 'constructive']"
0,8.5714285714286,COOK94A,CHEFLMN,3.0,"['dynamic-programming', 'modular-arith']"
0,26.470588235294,COOK94A,CHEFTRVL,45.0,['xor']
0,10.526315789474,COOK94A,CHEFPIC,2.0,"['squares', 'scanline', 'binary-search', 'geometry', 'bit']"
0,2.0224719101124,MAY18A,RUBBER,16.0,"['stack', 'hard', 'homotopic', 'geometry']"
0,2.6076649545634,MAY18A,EDGEST,54.0,['segment-tree']
0,4.0,MAY18A,SERSUM,16.0,"['convolution', 'power-series', 'fft']"
0,77.631578947368,MAY18A,RD19,57.0,"['cakewalk', 'gcd']"
0,67.105263157895,MAY18A,XORAGN,49.0,"['xor', 'easy']"
0,46.428571428571,MAY18A,MTYFRI,37.0,"['easy', 'sorting']"
0,10.191082802548,MAY18A,CHSIGN,346.0,"['easy-medium', 'dynamic-programming']"
0,14.51731761238,MAY18A,STMINCUT,180.0,"['medium-hard', 'minimum-spanning-tree', 'gomory-hu']"
0,13.973799126638,MAY18A,FAKEBS,495.0,['binary-search']
0,3.2608695652174,MAY18B,SERSUM,1.0,"['convolution', 'power-series', 'fft']"
0,5.3333333333333,MAY18B,EDGEST,5.0,['segment-tree']
0,4.1666666666667,MAY18B,RUBBER,1.0,"['stack', 'hard', 'homotopic', 'geometry']"
0,31.680954155795998,MAY18B,RD19,4769.0,"['cakewalk', 'gcd']"
0,30.201037613489,MAY18B,XORAGN,4357.0,"['xor', 'easy']"
0,21.23459315706,MAY18B,MTYFRI,3889.0,"['easy', 'sorting']"
0,4.218690881574,MAY18B,CHSIGN,382.0,"['easy-medium', 'dynamic-programming']"
0,6.9114470842332985,MAY18B,STMINCUT,80.0,"['medium-hard', 'minimum-spanning-tree', 'gomory-hu']"
0,7.0058517555267,MAY18B,FAKEBS,1101.0,['binary-search']
0,55.038167938931,LTIME59B,TWOVSTEN,1412.0,"['basic-math', 'cakewalk']"
0,6.7432201319326,LTIME59B,GCDDIV,261.0,"['basic-math', 'easy']"
0,2.7956989247312003,LTIME59B,TREE3,13.0,"['constructive', 'bfs', 'dfs', 'medium']"
0,8.1081081081081,LTIME59B,NPORP,3.0,"['graph-theory', 'dfs', 'np-hard', 'medium']"
0,7.5,LTIME59B,FFT,3.0,"['math', 'medium']"
0,0.0,LTIME59B,DARTSEGM,0.0,"['hard', 'convex-hull', 'segment-tree']"
0,100.0,LTIME59A,TWOVSTEN,12.0,"['basic-math', 'cakewalk']"
0,23.366834170854002,LTIME59A,GCDDIV,185.0,"['basic-math', 'easy']"
0,12.612612612613,LTIME59A,TREE3,56.0,"['constructive', 'bfs', 'dfs', 'medium']"
0,10.588235294118,LTIME59A,NPORP,18.0,"['graph-theory', 'dfs', 'np-hard', 'medium']"
0,20.918367346939,LTIME59A,FFT,41.0,"['math', 'medium']"
0,1.1824324324323998,LTIME59A,DARTSEGM,6.0,"['hard', 'convex-hull', 'segment-tree']"
0,8.8669950738916,LOCAPR18,TRGR,17.0,['union-find']
0,18.340026773762,LOCAPR18,CRICSCR,919.0,['cakewalk']
0,10.919540229885001,LOCAPR18,DOBDELIV,19.0,"['easy-medium', 'dynamic-programming']"
0,15.0,LOCAPR18,PALLIND,138.0,"['expected-value', 'modular-arith']"
0,0.0,COOK93B,PWNCHESS,0.0,"['game-theory', 'games', 'medium']"
0,42.857142857143,COOK93B,CHEFGORO,3.0,"['topology', 'bitmask', 'medium-hard']"
0,77.57936507936499,COOK93B,CUTBOARD,1147.0,"['chess', 'cakewalk']"
0,20.19282271023,COOK93B,BINIM,368.0,"['greedy', 'nim', 'game-theory', 'game']"
0,2.6041666666667003,COOK93B,RUNDIR,14.0,"['greedy', 'easy-medium', 'binary-search']"
0,0.0,COOK93B,HAMEL,0.0,"['hard', 'matroid-partition', 'euler-tour', 'spanningtree']"
0,4.9180327868852,COOK93A,PWNCHESS,6.0,"['game-theory', 'games', 'medium']"
0,9.6774193548387,COOK93A,HAMEL,3.0,"['hard', 'matroid-partition', 'euler-tour', 'spanningtree']"
0,39.473684210526,COOK93A,CHEFGORO,15.0,"['topology', 'bitmask', 'medium-hard']"
0,41.624365482234,COOK93A,BINIM,242.0,"['greedy', 'nim', 'game-theory', 'game']"
0,11.932773109244001,COOK93A,RUNDIR,70.0,"['greedy', 'easy-medium', 'binary-search']"
0,85.714285714286,COOK93A,CUTBOARD,6.0,"['chess', 'cakewalk']"
0,1.7421602787456,CORP2018,ADP,5.0,"['easy-medium', 'maths']"
0,36.057692307692,CORP2018,TEX,75.0,"['ad-hoc', 'cakewalk']"
0,60.0,CORP2018,IOC,29.0,"['chef', 'easy', 'greedy', 'sorting']"
0,22.033898305085,CORP2018,ENP,13.0,"['strings', 'easy']"
0,17.575757575758,CORP2018,GOODS,29.0,"['greedy', 'easy', 'sorting']"
0,14.864864864865,COLE2018,CLUSCL,44.0,['simple']
0,16.831683168317,COLE2018,CLKLZM,17.0,"['heap', 'easy']"
0,23.076923076923,COLE2018,CLERVT,3.0,"['dp+bitmask', 'euler-tour', 'dynamic-programming', 'medium']"
0,25.0,COLE2018,CLTNGL,1.0,"['mobius', 'hard']"
0,10.079575596817,COLE2018,CLFIBD,151.0,"['string', 'cakewalk']"
0,3.125,COLE2018,CLSUMG,1.0,"['sieve', 'fft', 'medium']"
0,80.26970621287501,APRIL18A,CHEFPAR,443.0,"['mgch', 'challenge', 'factorization', 'random', 'simulation']"
0,4.5914069081719004,APRIL18A,VAIMIN,96.0,"['medium-hard', 'dynamic-programming', 'generalized-catalan']"
0,22.706155632985002,APRIL18A,GOODPREF,719.0,"['string', 'logic', 'math']"
0,10.153181461115,APRIL18A,CUTPLANT,428.0,"['deque', 'data-structure', 'segment-tree', 'medium']"
0,13.880187940486,APRIL18A,HIGHWAYC,622.0,"['epsilon', 'geometry', 'easy', 'math']"
0,3.6672140120416,APRIL18A,CHEFAT,48.0,"['taylor-series', 'segtree', 'medium-hard', 'lazypropagation']"
0,8.2228116710875,APRIL18A,JADUGAR,156.0,"['hard', 'generating_functions', 'math']"
0,12.152777777778,APRIL18A,SSPLD,27.0,"['hard', 'fft', 'palindrome', 'dp-bitmask', 'fwt']"
0,28.695652173913,APRIL18A,WGHTNUM,60.0,"['easy', 'fast-expo']"
0,18.882978723404,APRIL18A,AVGPR,61.0,"['looping', 'array', 'math']"
0,67.647378134839,APRIL18B,CHEFPAR,1019.0,"['mgch', 'challenge', 'factorization', 'random', 'simulation']"
0,1.7980636237898,APRIL18B,VAIMIN,44.0,"['medium-hard', 'dynamic-programming', 'generalized-catalan']"
0,9.6469722971316,APRIL18B,GOODPREF,2158.0,"['string', 'logic', 'math']"
0,3.3136676499508,APRIL18B,CUTPLANT,298.0,"['deque', 'data-structure', 'segment-tree', 'medium']"
0,7.5401361896714985,APRIL18B,HIGHWAYC,1354.0,"['epsilon', 'geometry', 'easy', 'math']"
0,9.829072401518001,APRIL18B,WGHTNUM,2999.0,"['easy', 'fast-expo']"
